country,moisture,altitude,target
Brazil,0.1100,695.0000,fair
Brazil,0.0000,1250.0000,fair
Brazil,0.1200,1250.0000,great
Brazil,0.1100,1100.0000,fair
Brazil,0.1100,1100.0000,poor
Brazil,0.0000,1150.0000,good
Brazil,0.1200,900.0000,great
Brazil,0.1100,982.0000,fair
Brazil,0.1100,1050.0000,fair
Brazil,0.0200,925.0000,good
Brazil,0.1100,1100.0000,fair
Brazil,0.1200,1100.0000,good
Brazil,0.1200,1100.0000,fair
Brazil,0.1200,1100.0000,great
Brazil,0.1100,1200.0000,good
Brazil,0.0000,1000.0000,good
Brazil,0.1100,1100.0000,poor
Brazil,0.1200,1200.0000,poor
Brazil,0.1200,1200.0000,poor
Brazil,0.1000,1250.0000,fair
Brazil,0.1100,1100.0000,good
Brazil,0.1100,995.0000,poor
Brazil,0.1100,1100.0000,great
Brazil,0.0900,1100.0000,fair
Brazil,0.1100,1038.5000,good
Brazil,0.1100,1038.5000,great
Brazil,0.1100,950.0000,good
Brazil,0.1100,1020.0000,poor
Brazil,0.1100,973.0000,fair
Brazil,0.1100,1100.0000,good
Brazil,0.1100,890.0000,fair
Brazil,0.0000,1100.0000,fair
Brazil,0.1000,1100.0000,fair
Brazil,0.0000,890.0000,good
Brazil,0.1100,934.0000,good
Brazil,0.1100,890.0000,fair
Brazil,0.1100,934.0000,fair
Brazil,0.0700,1268.0000,great
Brazil,0.1100,1100.0000,great
Brazil,0.1100,1100.0000,good
Brazil,0.1100,934.0000,fair
Brazil,0.1100,894.0000,good
Brazil,0.1100,944.0000,poor
Brazil,0.1200,1250.0000,great
Brazil,0.1100,1200.0000,great
Brazil,0.0200,1050.0000,great
Brazil,0.0000,890.0000,good
Brazil,0.1100,934.0000,good
Brazil,0.0000,890.0000,poor
Brazil,0.1100,890.0000,good
Brazil,0.1100,890.0000,great
Brazil,0.1100,934.0000,good
Brazil,0.1100,890.0000,good
Brazil,0.1100,890.0000,fair
Brazil,0.0200,900.0000,good
Brazil,0.0000,890.0000,fair
Brazil,0.1100,894.0000,good
Brazil,0.1100,872.0000,good
Brazil,0.0000,890.0000,good
Brazil,0.1100,1250.0000,great
Brazil,0.1100,1250.0000,great
Brazil,0.0000,1200.0000,good
Brazil,0.1200,1250.0000,good
Brazil,0.1200,125.0000,fair
Brazil,0.0000,1200.0000,poor
Brazil,0.1000,1260.0000,fair
Brazil,0.0000,1200.0000,great
Brazil,0.1200,1000.0000,great
Brazil,0.1200,1100.0000,good
Brazil,0.1000,1227.0000,great
Brazil,0.1200,1000.0000,good
Brazil,0.0000,975.0000,fair
Brazil,0.1200,1000.0000,fair
Brazil,0.1200,1000.0000,good
Brazil,0.1200,1000.0000,poor
Brazil,0.1200,1000.0000,fair
Brazil,0.1200,950.0000,fair
Brazil,0.1100,950.0000,good
Brazil,0.0000,1.0000,fair
Brazil,0.0000,1.0000,great
Brazil,0.0000,1260.0000,poor
Brazil,0.0000,1.0000,good
Brazil,0.0000,1.0000,good
Brazil,0.0000,1.0000,poor
Brazil,0.1000,1260.0000,fair
Brazil,0.0000,1.0000,good
Brazil,0.0000,1.0000,good
Brazil,0.0000,1.0000,poor
Brazil,0.0000,1.0000,good
Brazil,0.0000,1.0000,fair
Brazil,0.0800,12.0000,great
Brazil,0.0100,12.0000,great
Brazil,0.1000,1260.0000,great
Brazil,0.0000,1.0000,good
Brazil,0.1100,905.0000,good
Brazil,0.1100,905.0000,fair
Brazil,0.1100,905.0000,good
Brazil,0.1200,1250.0000,good
Brazil,0.1100,1260.0000,fair
Brazil,0.0000,1200.0000,fair
Brazil,0.1200,1260.0000,fair
Brazil,0.1200,1300.0000,great
Brazil,0.1200,1300.0000,great
Brazil,0.0000,1275.0000,great
Brazil,0.1100,1250.0000,poor
Burundi,0.0000,1880.0000,good
China,0.1000,1600.0000,good
China,0.1100,1500.0000,good
China,0.1200,1580.0000,good
China,0.1000,1100.0000,fair
China,0.1000,1700.0000,great
China,0.1000,1400.0000,great
China,0.1000,1450.0000,great
China,0.1000,1680.0000,great
China,0.1000,1600.0000,fair
China,0.1000,1650.0000,good
China,0.1000,1100.0000,good
China,0.1100,1200.0000,good
China,0.0000,1100.0000,great
China,0.1700,1700.0000,poor
China,0.0000,1850.0000,poor
China,0.1000,1200.0000,poor
Colombia,0.1000,1300.0000,poor
Colombia,0.1000,1300.0000,poor
Colombia,0.1100,1450.0000,good
Colombia,0.1100,1700.0000,fair
Colombia,0.1100,1700.0000,great
Colombia,0.1200,1800.0000,good
Colombia,0.1200,1800.0000,good
Colombia,0.1100,2136.0000,great
Colombia,0.0000,1600.0000,good
Colombia,0.1100,2136.0000,good
Colombia,0.0000,1799.0000,good
Colombia,0.0000,1650.0000,good
Colombia,0.1100,1450.0000,good
Colombia,0.0000,1799.0000,good
Colombia,0.0000,1550.0000,fair
Colombia,0.0000,1483.0000,good
Colombia,0.1100,1500.0000,good
Colombia,0.1100,1600.0000,good
Colombia,0.0000,1600.0000,fair
Colombia,0.1100,1750.0000,fair
Colombia,0.0000,442.0000,good
Colombia,0.1200,442.0000,good
Colombia,0.0000,442.0000,good
Colombia,0.0000,1750.0000,fair
Colombia,0.1100,442.0000,good
Colombia,0.1200,442.0000,good
Colombia,0.0000,442.0000,poor
Colombia,0.0000,442.0000,good
Colombia,0.1100,1775.0000,fair
Colombia,0.0000,1775.0000,good
Colombia,0.1100,1775.0000,good
Colombia,0.1100,1800.0000,good
Colombia,0.1100,1750.0000,poor
Colombia,0.1100,1750.0000,fair
Colombia,0.1100,1750.0000,fair
Colombia,0.1100,1775.0000,fair
Colombia,0.1100,1750.0000,fair
Colombia,0.1100,1775.0000,fair
Colombia,0.1100,1775.0000,fair
Colombia,0.0000,1750.0000,good
Colombia,0.0000,1750.0000,fair
