country,region,variety,process,moisture,altitude,target
Brazil,alta paulista (sao paulo),Mundo Novo,Natural / Dry,0.1100,695.0000,fair
Brazil,carmo de minas,Bourbon,Semi-washed / Semi-pulped,0.0000,1250.0000,fair
Brazil,carmo de minas,Yellow Bourbon,Semi-washed / Semi-pulped,0.1200,1250.0000,great
Brazil,cerrado,Catuai,Natural / Dry,0.1100,1100.0000,fair
Brazil,cerrado,Catuai,Natural / Dry,0.1100,1100.0000,poor
Brazil,cerrado,Catuai,Natural / Dry,0.0000,1150.0000,good
Brazil,cerrado,Catuai,Natural / Dry,0.1200,900.0000,great
Brazil,cerrado,Catuai,Natural / Dry,0.1100,982.0000,fair
Brazil,cerrado,Catuai,Semi-washed / Semi-pulped,0.1100,1050.0000,fair
Brazil,cerrado,Mundo Novo,Natural / Dry,0.0200,925.0000,good
Brazil,cerrado,Peaberry,Semi-washed / Semi-pulped,0.1100,1100.0000,fair
Brazil,grama valley,Mundo Novo,Natural / Dry,0.1200,1100.0000,good
Brazil,grama valley,Mundo Novo,Natural / Dry,0.1200,1100.0000,fair
Brazil,grama valley,Mundo Novo,Natural / Dry,0.1200,1100.0000,great
Brazil,grama valley,Yellow Bourbon,Semi-washed / Semi-pulped,0.1100,1200.0000,good
Brazil,high mogiana,Catuai,Natural / Dry,0.0000,1000.0000,good
Brazil,mantiqueira de minas,Bourbon,Pulped natural / honey,0.1100,1100.0000,poor
Brazil,mantiqueira de minas,Yellow Bourbon,Natural / Dry,0.1200,1200.0000,poor
Brazil,mantiqueira de minas,Yellow Bourbon,other,0.1200,1200.0000,poor
Brazil,mantiqueira de minas,Yellow Bourbon,Semi-washed / Semi-pulped,0.1000,1250.0000,fair
Brazil,minas gerais,Catuai,Natural / Dry,0.1100,1100.0000,good
Brazil,minas gerais,Catuai,Natural / Dry,0.1100,995.0000,poor
Brazil,minas gerais,Catuai,Semi-washed / Semi-pulped,0.1100,1100.0000,great
Brazil,minas gerais,Catuai,Washed / Wet,0.0900,1100.0000,fair
Brazil,minas gerais,Mundo Novo,Natural / Dry,0.1100,1038.5000,good
Brazil,minas gerais,Mundo Novo,Natural / Dry,0.1100,1038.5000,great
Brazil,mogiana,Mundo Novo,Natural / Dry,0.1100,950.0000,good
Brazil,monte carmelo,Catuai,Natural / Dry,0.1100,1020.0000,poor
Brazil,monte carmelo,Mundo Novo,Natural / Dry,0.1100,973.0000,fair
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,1100.0000,good
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,890.0000,fair
Brazil,south of minas,Bourbon,Natural / Dry,0.0000,1100.0000,fair
Brazil,south of minas,Bourbon,Natural / Dry,0.1000,1100.0000,fair
Brazil,south of minas,Bourbon,Natural / Dry,0.0000,890.0000,good
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,934.0000,good
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,890.0000,fair
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,934.0000,fair
Brazil,south of minas,Bourbon,Natural / Dry,0.0700,1268.0000,great
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,1100.0000,great
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,1100.0000,good
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,934.0000,fair
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,894.0000,good
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,944.0000,poor
Brazil,south of minas,Bourbon,Natural / Dry,0.1200,1250.0000,great
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,1200.0000,great
Brazil,south of minas,Bourbon,Natural / Dry,0.0200,1050.0000,great
Brazil,south of minas,Bourbon,Natural / Dry,0.0000,890.0000,good
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,934.0000,good
Brazil,south of minas,Bourbon,Natural / Dry,0.0000,890.0000,poor
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,890.0000,good
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,890.0000,great
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,934.0000,good
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,890.0000,good
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,890.0000,fair
Brazil,south of minas,Bourbon,Natural / Dry,0.0200,900.0000,good
Brazil,south of minas,Bourbon,Natural / Dry,0.0000,890.0000,fair
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,894.0000,good
Brazil,south of minas,Bourbon,Natural / Dry,0.1100,872.0000,good
Brazil,south of minas,Bourbon,Natural / Dry,0.0000,890.0000,good
Brazil,south of minas,Bourbon,Semi-washed / Semi-pulped,0.1100,1250.0000,great
Brazil,south of minas,Bourbon,Semi-washed / Semi-pulped,0.1100,1250.0000,great
Brazil,south of minas,Bourbon,Semi-washed / Semi-pulped,0.0000,1200.0000,good
Brazil,south of minas,Bourbon,Semi-washed / Semi-pulped,0.1200,1250.0000,good
Brazil,south of minas,Bourbon,Semi-washed / Semi-pulped,0.1200,125.0000,fair
Brazil,south of minas,Bourbon,Semi-washed / Semi-pulped,0.0000,1200.0000,poor
Brazil,south of minas,Bourbon,Washed / Wet,0.1000,1260.0000,fair
Brazil,south of minas,Bourbon,Washed / Wet,0.0000,1200.0000,great
Brazil,south of minas,Catuai,Natural / Dry,0.1200,1000.0000,great
Brazil,south of minas,Catuai,Semi-washed / Semi-pulped,0.1200,1100.0000,good
Brazil,south of minas,Catuai,Semi-washed / Semi-pulped,0.1000,1227.0000,great
Brazil,south of minas,Catuai,Semi-washed / Semi-pulped,0.1200,1000.0000,good
Brazil,south of minas,Mundo Novo,Natural / Dry,0.0000,975.0000,fair
Brazil,south of minas,Mundo Novo,Natural / Dry,0.1200,1000.0000,fair
Brazil,south of minas,Mundo Novo,Natural / Dry,0.1200,1000.0000,good
Brazil,south of minas,Mundo Novo,Natural / Dry,0.1200,1000.0000,poor
Brazil,south of minas,Mundo Novo,Semi-washed / Semi-pulped,0.1200,1000.0000,fair
Brazil,south of minas,Mundo Novo,Semi-washed / Semi-pulped,0.1200,950.0000,fair
Brazil,south of minas,Mundo Novo,Washed / Wet,0.1100,950.0000,good
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,1.0000,fair
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,1.0000,great
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,1260.0000,poor
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,1.0000,good
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,1.0000,good
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,1.0000,poor
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.1000,1260.0000,fair
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,1.0000,good
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,1.0000,good
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,1.0000,poor
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,1.0000,good
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,1.0000,fair
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0800,12.0000,great
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0100,12.0000,great
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.1000,1260.0000,great
Brazil,south of minas,Yellow Bourbon,Natural / Dry,0.0000,1.0000,good
Brazil,south of minas,Yellow Bourbon,Pulped natural / honey,0.1100,905.0000,good
Brazil,south of minas,Yellow Bourbon,Pulped natural / honey,0.1100,905.0000,fair
Brazil,south of minas,Yellow Bourbon,Pulped natural / honey,0.1100,905.0000,good
Brazil,south of minas,Yellow Bourbon,Semi-washed / Semi-pulped,0.1200,1250.0000,good
Brazil,south of minas,Yellow Bourbon,Semi-washed / Semi-pulped,0.1100,1260.0000,fair
Brazil,south of minas,Yellow Bourbon,Semi-washed / Semi-pulped,0.0000,1200.0000,fair
Brazil,south of minas,Yellow Bourbon,Washed / Wet,0.1200,1260.0000,fair
Brazil,vale da grama,Bourbon,Natural / Dry,0.1200,1300.0000,great
Brazil,vale da grama,Bourbon,Semi-washed / Semi-pulped,0.1200,1300.0000,great
Brazil,vale da grama,Yellow Bourbon,Natural / Dry,0.0000,1275.0000,great
Brazil,vale da grama,Yellow Bourbon,Semi-washed / Semi-pulped,0.1100,1250.0000,poor
Burundi,kayanza,Bourbon,Washed / Wet,0.0000,1880.0000,good
China,dehong prefecture,Catimor,Washed / Wet,0.1000,1600.0000,good
China,menglian,Catimor,Washed / Wet,0.1100,1500.0000,good
China,xishuangbanna prefecture,Catimor,Pulped natural / honey,0.1200,1580.0000,good
China,yunnan,Catimor,Natural / Dry,0.1000,1100.0000,fair
China,yunnan,Catimor,Natural / Dry,0.1000,1700.0000,great
China,yunnan,Catimor,Natural / Dry,0.1000,1400.0000,great
China,yunnan,Catimor,Washed / Wet,0.1000,1450.0000,great
China,yunnan,Catimor,Washed / Wet,0.1000,1680.0000,great
China,yunnan,Catimor,Washed / Wet,0.1000,1600.0000,fair
China,yunnan,Catimor,Washed / Wet,0.1000,1650.0000,good
China,yunnan,Catimor,Washed / Wet,0.1000,1100.0000,good
China,yunnan,Catimor,Washed / Wet,0.1100,1200.0000,good
China,yunnan,Other,Washed / Wet,0.0000,1100.0000,great
China,yunnan,Other,Washed / Wet,0.1700,1700.0000,poor
China,yunnan,Typica,Washed / Wet,0.0000,1850.0000,poor
China,yunnan,Typica,Washed / Wet,0.1000,1200.0000,poor
Colombia,antioquia,Caturra,Washed / Wet,0.1000,1300.0000,poor
Colombia,antioquia,Caturra,Washed / Wet,0.1000,1300.0000,poor
Colombia,antioquia,Other,Washed / Wet,0.1100,1450.0000,good
Colombia,cauca,Caturra,Washed / Wet,0.1100,1700.0000,fair
Colombia,cauca,Caturra,Washed / Wet,0.1100,1700.0000,great
Colombia,cauca,Other,Washed / Wet,0.1200,1800.0000,good
Colombia,cauca,Other,Washed / Wet,0.1200,1800.0000,good
Colombia,cundinamarca,Caturra,Natural / Dry,0.1100,2136.0000,great
Colombia,cundinamarca,Caturra,Natural / Dry,0.0000,1600.0000,good
Colombia,cundinamarca,Caturra,Natural / Dry,0.1100,2136.0000,good
Colombia,cundinamarca,Caturra,Washed / Wet,0.0000,1799.0000,good
Colombia,cundinamarca,Caturra,Washed / Wet,0.0000,1650.0000,good
Colombia,cundinamarca,Caturra,Washed / Wet,0.1100,1450.0000,good
Colombia,cundinamarca,Caturra,Washed / Wet,0.0000,1799.0000,good
Colombia,cundinamarca,Caturra,Washed / Wet,0.0000,1550.0000,fair
Colombia,eje cafetero,Caturra,Natural / Dry,0.0000,1483.0000,good
Colombia,guayata,Caturra,Washed / Wet,0.1100,1500.0000,good
Colombia,guayata,Caturra,Washed / Wet,0.1100,1600.0000,good
Colombia,guayata,Caturra,Washed / Wet,0.0000,1600.0000,fair
Colombia,huila,Caturra,Natural / Dry,0.1100,1750.0000,fair
Colombia,huila,Caturra,Natural / Dry,0.0000,442.0000,good
Colombia,huila,Caturra,Natural / Dry,0.1200,442.0000,good
Colombia,huila,Caturra,Natural / Dry,0.0000,442.0000,good
